2024-05-10 12:08, success, 0.088052
2024-05-11 00:22, success, 0.088052
2024-05-11 05:23, success, 0.088052
2024-05-11 12:04, success, 0.085910
2024-05-12 00:13, success, 0.175013
2024-05-12 12:04, success, 0.090605
2024-05-13 00:12, success, 0.088992
2024-05-13 12:04, success, 0.054492
2024-05-14 00:12, success, 0.153489
2024-05-14 12:05, success, 0.098206
2024-05-15 00:12, success, 0.103099
2024-05-15 12:05, success, 0.039347
2024-05-16 00:12, success, 0.088592
2024-05-16 12:04, success, 0.174169
2024-05-17 00:12, success, 0.053627
2024-05-17 12:04, success, 0.084401
2024-05-18 00:12, success, 0.079550
2024-05-18 12:05, success, 0.079992
2024-05-19 00:13, success, 0.046880
2024-05-19 12:04, success, 0.081755
2024-05-20 00:12, success, 0.159724
2024-05-20 12:05, success, 0.047356
2024-05-21 00:12, success, 0.083328
2024-05-21 12:04, success, 0.068030
